iso3,analysis_type,hazard,aad,population,aad_over_pop
BGD,Prospective,Flood,882606,162910864,0.00541772339995692
BGD,Prospective,Storm,7554.48,162910864,0.0000463718613634018
BGD,Prospective,Tsunami,1826.9,162910864,0.0000112141078571654
BGD,Prospective,Wind,91929.3,162910864,0.000564292016768139
BRN,Prospective,Earthquake,30,428874,0.0000699506148659047
BRN,Prospective,Flood,136.04,428874,0.000317202721545256
BRN,Prospective,Tsunami,2.11,428874,0.0000049198599122353
BTN,Prospective,Earthquake,322.56,784103,0.000411374526050787
BTN,Prospective,Flood,3757.59,784103,0.00479221479831094
BTN,Retrospective,Hydrometeorological,5.125,784103,0.00000653613109502195
BTN,Retrospective,Tectonic,1374.5,784103,0.00175295847611857
BTN,Retrospective,Total,1379.62,784103,0.00175948823050033
BTN,Hybrid,Total,6741,784103,0.00859708482176449
CHN,Prospective,Earthquake,191559,1382323332,0.000138577563993545
CHN,Prospective,Flood,466594,1382323332,0.000337543315083102
CHN,Prospective,Storm,184217,1382323332,0.000133266216185086
CHN,Prospective,Tsunami,5051.96,1382323332,0.00000365468764293418
CHN,Prospective,Wind,1545.89,1382323332,0.00000111832735816109
FJI,Prospective,Earthquake,65.7,897537,0.0000732003248891132
FJI,Prospective,Storm,3147.27,897537,0.00350656296063561
FJI,Prospective,Tsunami,0.92,897537,0.00000102502738048682
FJI,Prospective,Wind,1808.19,897537,0.00201461332513311
FSM,Prospective,Earthquake,4.3,104966,0.0000409656460187108
FSM,Prospective,Storm,128.89,104966,0.0012279214221748
FSM,Prospective,Tsunami,2.05,104966,0.0000195301335670598
FSM,Prospective,Wind,172.09,104966,0.0016394832612465
HKG,Prospective,Earthquake,9.25,7346248,0.00000125914616549836
HKG,Prospective,Tsunami,1624.89,7346248,0.000221186379768284
HKG,Prospective,Wind,1.29,7346248,0.000000175599843620852
IDN,Prospective,Earthquake,49024.3,260581100,0.000188134519349254
IDN,Prospective,Flood,239573,260581100,0.0009193798015282
IDN,Prospective,Storm,16.35,260581100,0.0000000627443816915348
IDN,Prospective,Tsunami,3178.58,260581100,0.000012198045061595
IDN,Prospective,Wind,2.22,260581100,0.00000000851942063334601
IDN,Retrospective,Hydrometeorological,51395.7,260581100,0.000197234949119487
IDN,Retrospective,Landslides,1476.91,260581100,0.00000566775564306084
IDN,Retrospective,Tectonic,204103,260581100,0.000783260950237757
IDN,Retrospective,Volcanic,2.28125,260581100,0.0000000087544722161354
IDN,Retrospective,Total,256978,260581100,0.000986172826809005
IDN,Hybrid,Total,355210,260581100,0.00136314567710398
IND,Prospective,Earthquake,58233.1,1326801576,0.0000438898333054136
IND,Prospective,Flood,1381340,1326801576,0.00104110518481929
IND,Prospective,Storm,26161.4,1326801576,0.0000197176431451571
IND,Prospective,Tsunami,2613.64,1326801576,0.00000196988008401341
IND,Prospective,Wind,171317,1326801576,0.000129120286785068
IND,Retrospective,Hydrometeorological,30.8333,1326801576,0.0000000232388177386368
IND,Retrospective,Landslides,6.16667,1326801576,0.00000000464777108464936
IND,Retrospective,Total,37,1326801576,0.0000000278866114340521
IND,Retrospective,Hydrometeorological,157624,1326801576,0.000118799979477866
IND,Retrospective,Tectonic,99.2159,1326801576,0.0000000747782500372912
IND,Retrospective,Total,157723,1326801576,0.000118874595005757
IND,Retrospective,Hydrometeorological,33115.9,1326801576,0.0000249591955564575
IND,Retrospective,Landslides,0.382353,1326801576,0.00000000028817647409849
IND,Retrospective,Tectonic,4485.24,1326801576,0.00000338049040725589
IND,Retrospective,Total,37601.5,1326801576,0.0000283399572929057
IRN,Prospective,Earthquake,116660,80043146,0.00145746395325341
IRN,Prospective,Flood,24024.3,80043146,0.000300141875982736
IRN,Prospective,Storm,0.18,80043146,0.000000002248787172858
IRN,Prospective,Tsunami,7.62,80043146,0.0000000951986569843219
IRN,Retrospective,Hydrometeorological,4354.43,80043146,0.0000544010351617114
IRN,Retrospective,Landslides,2.875,80043146,0.0000000359181284553708
IRN,Retrospective,Tectonic,13023.3,80043146,0.000162703499934898
IRN,Retrospective,Total,17380.6,80043146,0.000217140390758754
IRN,Hybrid,Total,81480,80043146,0.00101795099358039
JPN,Prospective,Earthquake,30177,126323715,0.000238886261380138
JPN,Prospective,Flood,10242.5,126323715,0.0000810813709840626
JPN,Prospective,Storm,87402.9,126323715,0.000691896212836996
JPN,Prospective,Tsunami,15842.6,126323715,0.00012541271446933
JPN,Prospective,Wind,2955.31,126323715,0.0000233947362931814
KAZ,Prospective,Earthquake,5826.4,17855384,0.000326310540282976
KAZ,Prospective,Flood,10165.1,17855384,0.000569301673937676
KGZ,Prospective,Earthquake,16282.7,6033769,0.00269859518983905
KGZ,Prospective,Flood,10165.3,6033769,0.00168473469899163
KHM,Prospective,Earthquake,0.01,15827241,0.000000000631822059195282
KHM,Prospective,Flood,179154,15827241,0.0113193449193072
KHM,Retrospective,Hydrometeorological,3579.89,15827241,0.00022618534714926
KHM,Retrospective,Total,3579.89,15827241,0.00022618534714926
KHM,Hybrid,Total,257875,15827241,0.0162931113514983
KIR,Prospective,Tsunami,1.33,114405,0.0000116253660242122
KOR,Prospective,Earthquake,69.77,50503933,0.00000138147656737942
KOR,Prospective,Flood,15306.2,50503933,0.000303069465896844
KOR,Prospective,Storm,70562.6,50503933,0.00139717039463045
KOR,Prospective,Tsunami,9.98,50503933,0.000000197608372401413
KOR,Prospective,Wind,0.02,50503933,0.000000000396008762327481
LAO,Prospective,Earthquake,1671.76,6918367,0.000241640838076384
LAO,Prospective,Flood,77810.7,6918367,0.0112469749002908
LAO,Prospective,Wind,0.29,6918367,0.0000000419174062318463
LAO,Retrospective,Hydrometeorological,6271.29,6918367,0.000906469691474881
LAO,Retrospective,Total,6271.29,6918367,0.000906469691474881
LAO,Hybrid,Total,81387,6918367,0.0117639032447975
LKA,Prospective,Earthquake,21.58,20810816,0.00000103696078039419
LKA,Prospective,Flood,13585.9,20810816,0.000652828798255676
LKA,Prospective,Storm,1031.68,20810816,0.0000495742214048695
LKA,Prospective,Tsunami,159.82,20810816,0.00000767966042273402
LKA,Retrospective,Hydrometeorological,8486.92,20810816,0.000407812937272618
LKA,Retrospective,Landslides,41.6375,20810816,0.00000200076248812156
LKA,Retrospective,Tectonic,6257.45,20810816,0.000300682587362264
LKA,Retrospective,Total,14786,20810816,0.000710495926733483
LKA,Hybrid,Total,17827,20810816,0.00085662186432286
MAC,Prospective,Earthquake,0.43,597126,0.00000072011602241403
MAC,Prospective,Tsunami,141.69,597126,0.000237286602827544
MDV,Prospective,Earthquake,0.23,369812,0.000000621937633175776
MDV,Prospective,Tsunami,2.42,369812,0.00000654386553167555
MDV,Retrospective,Hydrometeorological,2.83871,369812,0.00000767608947248872
MDV,Retrospective,Tectonic,483.839,369812,0.00130833774999189
MDV,Retrospective,Total,486.677,369812,0.00131601191956994
MDV,Hybrid,Total,15,369812,0.0000405611499897245
MHL,Prospective,Tsunami,0.3,53069,0.00000565301776931919
MHL,Prospective,Wind,4.93,53069,0.0000928979253424787
MMR,Prospective,Earthquake,4475.03,54363426,0.000082316923881876
MMR,Prospective,Flood,513796,54363426,0.00945113356174425
MMR,Prospective,Storm,10973.8,54363426,0.000201859978434766
MMR,Prospective,Tsunami,949.18,54363426,0.0000174599003381428
MMR,Prospective,Wind,2005.59,54363426,0.0000368922665028506
MNG,Prospective,Earthquake,146.33,3006444,0.000048672118955151
MNG,Prospective,Flood,2393.63,3006444,0.00079616650102247
MYS,Prospective,Earthquake,115.58,30751602,0.00000375850337813295
MYS,Prospective,Flood,27290.7,30751602,0.000887456204720652
MYS,Prospective,Tsunami,116.21,30751602,0.00000377899011570194
NCL,Prospective,Earthquake,18.01,266431,0.0000675972390600193
NCL,Prospective,Storm,1221.38,266431,0.00458422631000146
NCL,Prospective,Tsunami,2.2,266431,0.00000825729738656538
NCL,Prospective,Wind,2260.84,266431,0.00848564919247385
NPL,Prospective,Earthquake,5173.75,28850717,0.000179328298842625
NPL,Prospective,Flood,72706.2,28850717,0.00252008294975823
NPL,Retrospective,Hydrometeorological,12811.2,28850717,0.000444051355812058
NPL,Retrospective,Landslides,724.833,28850717,0.0000251235697192552
NPL,Retrospective,Tectonic,3283.74,28850717,0.000113818315156604
NPL,Retrospective,Total,16819.8,28850717,0.000582994176539876
NPL,Hybrid,Total,85835,28850717,0.00297514269749345
NZL,Prospective,Earthquake,35.16,4565185,0.00000770176893159861
NZL,Prospective,Flood,2398.72,4565185,0.000525437632867014
NZL,Prospective,Storm,294.43,4565185,0.0000644946480810745
NZL,Prospective,Tsunami,86.02,4565185,0.0000188426098832796
PAK,Prospective,Earthquake,50122.2,192826502,0.000259934186847408
PAK,Prospective,Flood,325291,192826502,0.0016869620961127
PAK,Prospective,Storm,1312.67,192826502,0.00000680751860550787
PAK,Prospective,Tsunami,32.57,192826502,0.000000168908317384713
PAK,Prospective,Wind,19.35,192826502,0.000000100349276677746
PAK,Retrospective,Hydrometeorological,620551,192826502,0.00321818315202337
PAK,Retrospective,Landslides,131.956,192826502,0.000000684325020841793
PAK,Retrospective,Tectonic,69587.7,192826502,0.000360882447579742
PAK,Retrospective,Total,690271,192826502,0.00357975170861109
PAK,Hybrid,Total,516705,192826502,0.00267963684784366
PHL,Prospective,Earthquake,52194,102250133,0.00051045410376141
PHL,Prospective,Flood,68735,102250133,0.000672224064490948
PHL,Prospective,Storm,184271,102250133,0.00180215902506454
PHL,Prospective,Tsunami,3479.08,102250133,0.0000340251880161369
PHL,Prospective,Wind,276237,102250133,0.00270158083804155
PLW,Prospective,Earthquake,2.9,21501,0.000134877447560579
PLW,Prospective,Storm,26.56,21501,0.0012352913817962
PLW,Prospective,Tsunami,1.85,21501,0.0000860425096507139
PLW,Prospective,Wind,270.83,21501,0.0125961583182178
PNG,Prospective,Earthquake,6094.54,7776115,0.000783751269110603
PNG,Prospective,Flood,21405.1,7776115,0.00275267276782815
PNG,Prospective,Storm,209.86,7776115,0.0000269877695996008
PNG,Prospective,Tsunami,143.86,7776115,0.0000185002408014799
PNG,Prospective,Wind,31.09,7776115,0.00000399814045959968
PRK,Prospective,Earthquake,3222.26,25281327,0.000127456126017436
PRK,Prospective,Flood,57796.3,25281327,0.0022861260407731
PRK,Prospective,Storm,344.8,25281327,0.0000136385245916878
PRK,Prospective,Tsunami,0.09,25281327,0.0000000035599397136076
PYF,Prospective,Tsunami,1.25,285735,0.00000437468283549443
PYF,Prospective,Wind,977.23,285735,0.00342005704586418
SGP,Prospective,Earthquake,0.15,5696506,0.0000000263319304851079
SLB,Prospective,Earthquake,252.61,594934,0.000424601720526983
SLB,Prospective,Storm,1243.92,594934,0.00209085377537676
SLB,Prospective,Tsunami,9.89,594934,0.0000166236927121328
SLB,Prospective,Wind,2155.54,594934,0.00362315819906074
THA,Prospective,Earthquake,632.71,68146609,0.00000928454121613006
THA,Prospective,Flood,138439,68146609,0.0020314877296389
THA,Prospective,Storm,0.98,68146609,0.0000000143807595767531
THA,Prospective,Tsunami,14.29,68146609,0.000000209694953420206
