,iso3,analysis_type,hazard,aad
589,USA,Prospective,Storm,48982.03
590,USA,Prospective,Tsunami,708.51
591,USA,Prospective,Wind,72120.15
592,ARE,Prospective,Earthquake,3919.06
593,ARE,Prospective,Flood,7473.53
594,ARE,Prospective,Tsunami,1.63
595,BHR,Prospective,Earthquake,135.61
596,IRQ,Prospective,Earthquake,30894.14
597,IRQ,Prospective,Flood,45125.01
598,JOR,Prospective,Earthquake,1960.56
599,JOR,Prospective,Flood,108.12
600,KWT,Prospective,Earthquake,706.46
601,KWT,Prospective,Flood,3.69
602,LBN,Prospective,Earthquake,2333.2
603,LBN,Prospective,Flood,62.86
604,LBN,Prospective,Tsunami,92.31
605,OMN,Prospective,Earthquake,487.58
606,OMN,Prospective,Flood,188.49
607,OMN,Prospective,Storm,144.03
608,OMN,Prospective,Tsunami,8.2
609,PSE,Prospective,Earthquake,1343.97
610,PSE,Prospective,Flood,18.1
611,PSE,Prospective,Tsunami,6.89
612,QAT,Prospective,Earthquake,312.12
613,QAT,Prospective,Flood,0.08
614,SAU,Prospective,Earthquake,1435.28
615,SAU,Prospective,Flood,1326.8
616,SYR,Prospective,Earthquake,12251.07
617,SYR,Prospective,Flood,8007.96
618,SYR,Prospective,Tsunami,17.74
619,YEM,Prospective,Earthquake,11869.66
620,YEM,Prospective,Flood,9625.59
621,YEM,Prospective,Tsunami,0.07
622,ARG,Retrospective,Hydrometeorological,3279.820513
623,ARG,Retrospective,Landslides,4.884615385
624,ARG,Retrospective,Tectonic,1044.423077
625,ARG,Retrospective,Volcanic,0.064102564
626,ARG,Retrospective,Total,4329.192308
627,COM,Retrospective,Hydrometeorological,293.6666667
628,COM,Retrospective,Total,293.6666667
629,EGY,Retrospective,Landslides,597.75
630,EGY,Retrospective,Total,597.75
631,ETH,Retrospective,Hydrometeorological,6163.916667
632,ETH,Retrospective,Landslides,255.5
633,ETH,Retrospective,Tectonic,4.1111111110000005
634,ETH,Retrospective,Total,6423.527778
635,KEN,Retrospective,Hydrometeorological,8695.4
636,KEN,Retrospective,Landslides,99.8
637,KEN,Retrospective,Total,8795.2
638,MDG,Retrospective,Hydrometeorological,166208.6364
639,MDG,Retrospective,Total,166208.6364
640,MLI,Retrospective,Hydrometeorological,17453.884619999997
641,MLI,Retrospective,Total,17453.884619999997
642,MUS,Retrospective,Hydrometeorological,46.94736842
643,MUS,Retrospective,Landslides,1.789473684
644,MUS,Retrospective,Total,48.73684211
645,MOZ,Retrospective,Hydrometeorological,117819.8095
646,MOZ,Retrospective,Landslides,37.28571429
647,MOZ,Retrospective,Tectonic,71.38095238
648,MOZ,Retrospective,Total,117928.4762
649,MAR,Retrospective,Hydrometeorological,148.0
650,MAR,Retrospective,Total,148.0
651,NER,Retrospective,Hydrometeorological,35214.08333
652,NER,Retrospective,Total,35214.08333
653,SEN,Retrospective,Hydrometeorological,219.2
654,SEN,Retrospective,Total,219.2
655,SLE,Retrospective,Hydrometeorological,1641.1
656,SLE,Retrospective,Landslides,23.1
657,SLE,Retrospective,Total,1664.2
658,SYC,Retrospective,Hydrometeorological,0.884615385
659,SYC,Retrospective,Landslides,0.7692307690000001
660,SYC,Retrospective,Tectonic,5.692307692000001
661,SYC,Retrospective,Total,7.346153846
662,TGO,Retrospective,Hydrometeorological,13141.28571
663,TGO,Retrospective,Landslides,16.85714286
664,TGO,Retrospective,Total,13158.14286
665,TUN,Retrospective,Hydrometeorological,4.75
666,TUN,Retrospective,Landslides,1.7
667,TUN,Retrospective,Total,6.45
668,UGA,Retrospective,Hydrometeorological,9410.375
669,UGA,Retrospective,Landslides,685.4583332999999
670,UGA,Retrospective,Total,10095.83333
671,BLZ,Retrospective,Hydrometeorological,421.75
672,BLZ,Retrospective,Tectonic,1.25
